6.28319,4.69478
12.5664,4.69608
18.8496,4.69722
25.1327,4.69389
31.4159,4.70659
37.6991,4.69264
43.9823,4.70875
50.2655,4.70834
56.5487,4.69828
62.8318,4.72834
69.115,4.70145
75.3982,4.7278
81.6814,4.7254
87.9646,4.72364
94.2478,4.73873
100.531,4.74078
106.814,4.74188
113.097,4.75289
119.381,4.76948
125.664,4.7414
131.947,4.80502
138.23,4.75531
144.513,4.79515
150.796,4.81795
157.08,4.76678
163.363,4.85989
169.646,4.79501
175.929,4.84449
182.212,4.85687
188.496,4.84108
194.779,4.87667
201.062,4.88374
207.345,4.88986
213.628,4.89907
219.912,4.95102
226.195,4.88146
232.478,5.0013
238.761,4.93346
245.044,4.96399
251.327,5.04998
257.611,4.92984
263.894,5.09622
270.177,5.00735
276.46,5.05593
282.743,5.10924
289.027,5.06644
295.31,5.12825
301.593,5.14173
307.876,5.15901
314.159,5.15307
320.442,5.26385
326.726,5.14061
333.009,5.31364
339.292,5.25945
345.575,5.23563
351.858,5.43552
358.141,5.21854
364.425,5.46163
370.708,5.37797
376.991,5.39024
383.274,5.5201
389.557,5.43654
395.84,5.535
402.124,5.54853
408.407,5.59192
414.69,5.55223
420.973,5.75361
427.256,5.56672
433.539,5.78212
439.823,5.79449
446.106,5.65265
452.389,6.03041
458.672,5.69444
464.955,6.00641
471.239,5.97754
477.522,5.90448
483.805,6.15457
490.088,6.02335
496.371,6.15407
502.654,6.18925
508.938,6.28174
515.221,6.17543
521.504,6.51222
527.787,6.26364
534.07,6.48451
540.354,6.66665
546.637,6.29721
552.92,6.95693
559.203,6.48222
565.486,6.83278
571.77,6.95926
578.053,6.71203
584.336,7.16369
590.619,6.97348
596.902,7.14999
603.186,7.20874
609.469,7.40843
615.752,7.17962
622.035,7.73186
628.318,7.44715
634.602,7.58306
640.885,8.15196
647.168,7.34572
653.451,8.48142
659.734,7.86216
666.018,8.16093
672.301,8.67136
678.584,8.06609
684.867,8.88634
691.15,8.63037
697.434,8.87563
703.717,8.97353
710,9.42307
716.283,8.95132
722.566,9.8885
728.85,9.68415
735.133,9.46054
741.416,11.0006
747.699,9.23927
753.982,11.3236
760.266,10.6265
766.549,10.5516
772.832,12.1352
779.115,10.6554
785.398,12.3167
791.682,12.0129
